,fecha,etiqueta
0,2012-04-26,0.0
1,2011-11-09,0.0
2,2013-06-13,1.0
3,2019-12-17,0.0
4,2012-09-20,0.0
5,2017-04-05,0.0
6,2021-10-18,0.0
7,2021-10-12,0.0
8,2012-01-05,0.0
9,2012-03-07,0.0
10,2019-04-15,0.0
11,2016-10-13,0.0
12,2020-06-10,0.0
13,2016-03-30,0.0
14,2018-11-16,2.0
15,2016-07-18,0.0
16,2015-10-30,0.0
17,2015-07-07,2.0
18,2016-07-26,0.0
19,2020-04-30,1.0
20,2016-10-19,0.0
21,2017-02-08,0.0
22,2019-06-04,0.0
23,2021-03-16,0.0
24,2022-02-21,0.0
25,2016-01-05,0.0
26,2015-11-13,2.0
27,2017-11-17,2.0
28,2022-05-19,2.0
29,2014-02-24,1.0
30,2021-04-28,1.0
31,2015-12-16,2.0
32,2017-08-18,1.0
33,2017-05-01,0.0
34,2015-11-03,2.0
35,2021-10-19,2.0
36,2020-06-10,0.0
37,2012-09-03,0.0
38,2019-04-23,0.0
39,2021-05-17,0.0
40,2011-12-13,0.0
41,2015-02-02,0.0
42,2018-09-10,2.0
43,2019-02-27,0.0
44,2011-11-17,0.0
45,2015-09-18,1.0
46,2016-10-25,0.0
47,2016-10-26,0.0
48,2017-09-20,0.0
49,2012-12-21,0.0
50,2017-11-23,0.0
51,2016-06-16 00:00:00,1.0
52,2019-09-23 00:00:00,1.0
