,fecha,etiqueta
0,2005-03-17,0.0
1,2017-08-01,0.0
2,2014-11-03,0.0
3,2012-12-18,0.0
4,2002-12-04,0.0
5,2001-08-10,0.0
6,2009-05-07,0.0
7,2015-09-22,1.0
8,2001-08-14,0.0
9,2004-08-31,1.0
10,2016-05-18,0.0
11,2016-03-29,0.0
12,2010-10-08,0.0
13,2002-05-31,0.0
14,2004-09-22,0.0
15,2012-01-17,0.0
16,2002-07-11,0.0
17,2006-04-24,0.0
18,2016-12-08,0.0
19,2007-12-19,0.0
20,2012-09-12,0.0
21,2011-05-13,0.0
22,2016-01-14,0.0
23,2006-01-20,0.0
24,2001-10-15,1.0
25,2000-09-01,0.0
26,2002-10-22,1.0
27,2007-02-20,1.0
28,2013-03-27,1.0
29,2003-12-29,0.0
30,2013-08-13,1.0
31,2003-08-26,0.0
32,2013-05-06,0.0
33,2003-01-27,0.0
34,2008-09-10,0.0
35,2017-08-09,0.0
36,2012-01-13,0.0
37,2011-08-11,0.0
38,2012-01-06,0.0
39,2014-04-07,0.0
40,2002-09-19,1.0
41,2005-08-24,0.0
42,2009-02-05,0.0
43,2008-01-11,0.0
44,2001-11-01,0.0
45,2004-01-15,0.0
46,2004-05-17,0.0
47,2007-07-18,0.0
48,2004-09-08,0.0
49,2014-01-29,0.0
50,2007-06-04,0.0
51,2013-07-19,0.0
52,2004-05-14,0.0
53,2007-05-08,0.0
54,2009-04-20,1.0
55,2013-10-08,0.0
56,2007-07-27,0.0
57,2008-10-24,0.0
58,2001-12-03,0.0
59,2001-01-29,0.0
60,2008-09-03,0.0
61,2000-02-02,0.0
62,2015-05-15,0.0
63,2012-04-17,0.0
64,2017-06-13,0.0
65,2004-12-22,1.0
66,2001-01-05,0.0
67,2001-01-19,0.0
68,2007-11-12,0.0
69,2004-03-18,0.0
70,2008-07-21,0.0
71,2002-10-18,0.0
72,2012-06-20,0.0
